time,open,high,low,close,EMA24,EMA9,Volume,Volume MA,RSI
2021-05-16T18:00:00Z,47080.2,47457.76,45333.34,45380.56,48154.144521050286,47515.21737409047,10976.682251,3964.818131250021,28.41066426125643
2021-05-16T19:00:00Z,45409.99,46239.68,44444.44,45549.26,47945.753759366264,47122.025899272376,11255.424001,4277.287839550021,30.19828918543945
2021-05-16T20:00:00Z,45553.24,45902.19,43825.39,44104.07,47638.419058616964,46518.4347194179,11341.714158,4572.408137100022,24.54410642069871
2021-05-16T21:00:00Z,44103.9,45614.33,43857.42,45195.96,47443.022333927605,46253.939775534316,7608.620307,4802.565891150022,34.51966093767399
2021-05-16T22:00:00Z,45195.29,46320,45163.65,45562.01,47292.541347213395,46115.553820427456,5841.013031,4987.028490350022,37.502650182104794
2021-05-16T23:00:00Z,45562.01,46480,45384.11,46431.5,47223.65803943633,46178.74305634196,3932.708488,5073.435569650022,44.02553329423633
2021-05-17T00:00:00Z,46426.83,46686,45481.64,45551.72,47089.902996281424,46053.33844507357,4098.536169,5164.749756200023,39.52983486204295
2021-05-17T01:00:00Z,45551.72,45618.04,44527.22,44870.17,46912.32435657891,45816.704756058854,6451.076643,5404.793011300023,36.42656801345035
2021-05-17T02:00:00Z,44870.16,45234.82,44210.01,44465.81,46716.6032080526,45546.525804847086,5723.772684,5481.335200350023,34.68671544502823
2021-05-17T03:00:00Z,44462.34,44705.23,42777,42915.46,46412.51175140839,45020.31264387767,11898.472951,5941.9268232500235,28.972831854205637
2021-05-17T04:00:00Z,42915.46,44300,42196.97,43582.53,46186.11321129572,44732.75611510214,13239.783401,6476.501624850023,34.00985161897101
2021-05-17T05:00:00Z,43582.6,44232.84,42397.28,44150.24,46023.24335439206,44616.252892081706,9220.107541,6788.482396450023,38.037207039755536
2021-05-17T06:00:00Z,44193.78,45400,43853.75,44323.45,45887.2598860407,44557.692313665364,11530.826326,7216.874055850024,39.2552997600563
2021-05-17T07:00:00Z,44323.44,45353.09,44127.63,45149.18,45828.21349515745,44675.98985093229,6566.740902,7421.999402600023,44.82394782055223
2021-05-17T08:00:00Z,45143.28,45528.07,44666.79,45320.64,45787.60761554485,44804.91988074583,6758.623435,7613.652815500022,45.93232734197903
2021-05-17T09:00:00Z,45317.29,45630.34,44900,45408.87,45757.30860630127,44925.70990459667,4778.778009,7699.895258550023,46.52758611164574
2021-05-17T10:00:00Z,45417.21,45507.33,44429.32,44539,45659.84391779717,44848.36792367733,5686.042787,7792.378553050023,41.65802761289009
2021-05-17T11:00:00Z,44539,45800,44291.84,45731.39,45665.56760437339,45024.972338941865,6628.063279,7906.226678350022,49.465581554008764
2021-05-17T12:00:00Z,45733.55,45791.04,44707.53,44919.14,45605.85339602352,45003.80587115349,6324.442361,7916.844960650022,45.0435431565089
2021-05-17T13:00:00Z,44927.6,45227.42,44555,45029.01,45559.70592434164,45008.846696922796,4360.539258,7711.098399100022,45.750012178022565
2021-05-17T14:00:00Z,45029.01,45128.7,43770.34,44440.98,45470.207850394305,44895.27335753824,6218.958669,7473.212220000021,42.59407309378643
2021-05-17T15:00:00Z,44440.98,44646.54,43156,43362.75,45301.61122236276,44588.76868603059,6234.049027,7222.143471300022,37.487593807494164
2021-05-17T16:00:00Z,43357,43814.3,42510.9,42567.28,45082.86472457374,44184.47094882447,8815.513326,7095.833429700023,34.22740018817541
2021-05-17T17:00:00Z,42566.1,43208.43,42001,42587.21,44883.21234660784,43865.018759059574,9215.23866,7176.164347350023,34.381375512137225
2021-05-17T18:00:00Z,42586.21,43733.89,42300.8,43473.22,44770.41295887921,43786.65900724766,7355.61408,7251.894399800022,40.9946084855945
2021-05-17T19:00:00Z,43471.48,44400,43462.76,44197.73,44724.59832216887,43868.87320579813,5496.795973,7330.098774050022,45.804551780756555
2021-05-17T20:00:00Z,44197.73,44939.2,44038.51,44757.64,44727.24165639537,44046.62656463851,4113.219255,7330.8329283500225,49.24775043759916
2021-05-17T21:00:00Z,44757.63,44814.81,43250.57,43514.55,44630.22632388374,43940.2112517108,4150.748617,7215.816527050022,42.753357960135745
2021-05-17T22:00:00Z,43514.55,44518.2,42600,42897.07,44491.57381797304,43731.58300136864,6424.963323,7250.876059000022,39.93612317094308
2021-05-17T23:00:00Z,42897.09,43841.88,42500,43538.04,44415.2911125352,43692.874401094916,5366.26606,6924.265714450022,44.05707442354349
2021-05-18T00:00:00Z,43538.02,44631.78,43150.79,44386.26,44412.96862353238,43831.55152087593,6210.140676,6572.783578200023,49.03983929771492
2021-05-18T01:00:00Z,44389.58,45281.34,44303.88,45072.49,44465.73033364979,44079.73921670074,6566.090316,6440.082716950023,52.70964969027626
2021-05-18T02:00:00Z,45079.58,45260.54,44500,45018.55,44509.95590695781,44267.501373360596,3747.96364,6050.939582650023,52.3902830808012
2021-05-18T03:00:00Z,45018.17,45051.16,44660.02,44779.83,44531.545834401186,44369.967098688474,2728.724821,5859.038778600023,50.91983757449515
2021-05-18T04:00:00Z,44774.78,45555.17,44738.26,45318.97,44594.53976764909,44559.76767895078,4607.615743,5751.488394000023,54.0561749315329
2021-05-18T05:00:00Z,45318.98,45509.24,45007.31,45359.99,44655.775786237165,44719.81214316063,4003.076024,5712.703294750022,54.29548154577292
2021-05-18T06:00:00Z,45355.82,45799.29,44800.4,44898.06,44675.15852333819,44755.4617145285,4784.476798,5667.624995300022,51.069552571098406
2021-05-18T07:00:00Z,44898.05,45244.64,44837.44,45172.7,44714.96184147114,44838.9093716228,3823.261984,5527.384930550023,52.86274821816457
2021-05-18T08:00:00Z,45172.69,45420,44826.41,44925.19,44731.780094153444,44856.16549729824,3610.934559,5391.709540450023,51.047093948454766
2021-05-18T09:00:00Z,44925.19,45133,44607.08,44955.35,44749.66568662117,44876.002397838594,3542.845052,5350.8248301500225,51.26674440657151
2021-05-18T10:00:00Z,44955.35,45480,44731.84,45365.87,44798.96203169148,44973.97591827087,2907.382956,5185.246044500023,54.274222028825356
2021-05-18T11:00:00Z,45365.87,45662.14,45125.21,45321.02,44840.72666915616,45043.384734616695,3041.567041,5025.621945200023,53.88298367224365
2021-05-18T12:00:00Z,45318.76,45341.84,43715,43955.47,44769.90613562367,44825.80178769336,6203.662829,4895.0294203500225,43.581882606800676
2021-05-18T13:00:00Z,43955.46,44098.4,43210,43691.22,44683.611244773776,44598.88543015469,7040.023149,4786.268644800022,41.91208678652205
2021-05-18T14:00:00Z,43691.39,43692.51,42507,43221.4,44566.63434519187,44323.38834412375,8896.14858,4863.295369800022,39.047562555232304
2021-05-18T15:00:00Z,43221.4,43806.8,42780.53,42969.47,44438.86119757652,44052.604675299,7433.449024,4960.128022350023,37.56494531441172
2021-05-18T16:00:00Z,42969.46,43700,42594.93,43600.21,44371.7691017704,43962.1257402392,8038.149971,5156.3745581500225,43.3630995655881
2021-05-18T17:00:00Z,43601.19,43825.65,43278.37,43324.59,44287.994773628765,43834.61859219136,4445.74057,5171.124155800022,41.54737529241477
2021-05-18T18:00:00Z,43324.59,43361.88,42371.96,42800.01,44168.95599173846,43627.696873753084,6072.594467,5153.505713000022,38.263407365667625
2021-05-18T19:00:00Z,42800.01,43621,42500,43262.71,44096.45631239939,43554.69949900247,4702.169326,5120.3008763000225,42.574917357660404
2021-05-18T20:00:00Z,43262.7,43522.64,42691.85,43256.56,44029.26460740744,43495.071599201976,3754.783948,4997.533039900022,42.53239993511082
2021-05-18T21:00:00Z,43254.06,43500,42766.01,42979.69,43945.29863881484,43391.99527936158,2614.873206,4799.972184400022,40.568205909185515
2021-05-18T22:00:00Z,42980.52,43250.27,42702.5,42817.85,43855.10274770966,43277.166223489265,3020.723749,4763.610189850022,39.422166281857955
2021-05-18T23:00:00Z,42817.86,43181.81,42250.02,42849.78,43774.676927892884,43191.68897879141,5183.462355,4886.347066550023,39.78359808698368
2021-05-19T00:00:00Z,42849.78,43584.9,42500,42610.25,43681.522773661454,43075.40118303313,5053.494032,4908.640981000022,37.95416010046552
2021-05-19T01:00:00Z,42610.25,42699.44,40500.15,40843.52,43454.48255176854,42629.0249464265,13344.376932,5375.706026400023,27.799839437191793
2021-05-19T02:00:00Z,40843.53,41299.98,40275,40325.01,43204.12474762706,42168.2219571412,8604.976409,5566.731006950022,25.632375033852227
2021-05-19T03:00:00Z,40324.57,41049.99,40125,40591.15,42995.086767816894,41852.80756571296,9124.063103,5831.771062900023,28.70497899920251
2021-05-19T04:00:00Z,40591.99,40846.97,38604.93,39307.66,42700.092626391546,41343.77805257037,17716.265974,6537.037633650022,23.63366241663381
2021-05-19T05:00:00Z,39307.66,39941,38934.69,39200.01,42420.08601628022,40915.024442056296,12574.523934,6988.621577750023,23.262447748887084
2021-05-19T06:00:00Z,39200,39878.33,39102,39378.54,42176.7623349778,40607.72755364504,8295.853109,7258.045085400023,25.35640824162354
2021-05-19T07:00:00Z,39383.29,40575.25,38550,40371.44,42032.33654817958,40560.47004291603,10481.124532,7630.022959950022,35.84194609799658
2021-05-19T08:00:00Z,40354.98,40888,39849.49,40465.04,41906.95282432521,40541.38403433283,7231.895896,7681.434613300022,36.74404595764278
2021-05-19T09:00:00Z,40462.39,40708.97,40028.62,40324.64,41780.36779837919,40498.03522746626,5321.022286,7595.484570150022,35.92800404229841
2021-05-19T10:00:00Z,40324.64,40442.95,38886.01,39432.27,41592.519974508854,40284.88218197301,9060.052014,7603.679741850021,31.18708241478572
2021-05-19T11:00:00Z,39432.42,39664.71,36333,38700,41361.11837654815,39967.905745578406,26040.527673,8534.03367430002,27.930115273336384
2021-05-19T12:00:00Z,38700,39295.51,32488.89,35234.62,40870.998506424294,39021.24859646273,30946.526664,9679.45250895002,18.228356839904862
2021-05-19T13:00:00Z,35234.62,38000,30000,35863.06,40470.36342591035,38389.610877170184,44239.811778,11669.156069350021,23.423201583406595
2021-05-19T14:00:00Z,35863.06,37598.82,33993.7,37521.32,40234.43995183752,38215.95270173615,24199.620197,12575.507355850023,35.13340496031307
2021-05-19T15:00:00Z,37501.89,37990,36414.74,37318.52,40001.16635569052,38036.46616138892,21654.717827,13423.134780900024,34.43977546394484
